ad,tip,enlem,boylam,mahalle,adres,sorgular,kaynak
Mehmet Akif Ersoy Parkı,toplanma_alani,,,Binbirdirek Mh.,Divanyolu Cad.,"Mehmet Akif Ersoy Parkı, Divanyolu Cad., Binbirdirek Mh., Fatih, İstanbul||Mehmet Akif Ersoy Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Melek Hatun Parkı,toplanma_alani,,,Mevlanakapı Mh.,Hasırcı Melek Sk.,"Melek Hatun Parkı, Hasırcı Melek Sk., Mevlanakapı Mh., Fatih, İstanbul||Melek Hatun Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Mimar Sinan Stadı,toplanma_alani,,,Karagümrük Mh.,Keçeci Meydanı Sk.,"Mimar Sinan Stadı, Keçeci Meydanı Sk., Karagümrük Mh., Fatih, İstanbul||Mimar Sinan Stadı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Molla Aşkı Parkı,toplanma_alani,,,Ayvansaray Mh.,Çınçınlı Çeşme Sk.,"Molla Aşkı Parkı, Çınçınlı Çeşme Sk., Ayvansaray Mh., Fatih, İstanbul||Molla Aşkı Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Molla Şeref Parkı,toplanma_alani,,,Molla Gürani Mh.,Tomrukçu Sk.,"Molla Şeref Parkı, Tomrukçu Sk., Molla Gürani Mh., Fatih, İstanbul||Molla Şeref Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Muhtar Osman Güven Parkı,toplanma_alani,,,Yavuz Sultan Selim Mh.,Dinibütün Sk.,"Muhtar Osman Güven Parkı, Dinibütün Sk., Yavuz Sultan Selim Mh., Fatih, İstanbul||Muhtar Osman Güven Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Muratpaşa Parkı,toplanma_alani,,,Molla Gürani Mh.,Vatan Cad.,"Muratpaşa Parkı, Vatan Cad., Molla Gürani Mh., Fatih, İstanbul||Muratpaşa Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Mustafa Nafi Parkı,toplanma_alani,,,Seyyid Ömer Mh.,Mustafa Nafi Sk.,"Mustafa Nafi Parkı, Mustafa Nafi Sk., Seyyid Ömer Mh., Fatih, İstanbul||Mustafa Nafi Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Nakilbent Parkı,toplanma_alani,,,Küçük Ayasofya Mh.,Nakilbent Sk.,"Nakilbent Parkı, Nakilbent Sk., Küçük Ayasofya Mh., Fatih, İstanbul||Nakilbent Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Namık Sevik Stadı,toplanma_alani,,,Sümbül Efendi Mh.,Hisaraltı 1. Cad.,"Namık Sevik Stadı, Hisaraltı 1. Cad., Sümbül Efendi Mh., Fatih, İstanbul||Namık Sevik Stadı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Numune Parkı,toplanma_alani,,,Kemal Paşa Mh.,Ömer Yılmaz Sk.,"Numune Parkı, Ömer Yılmaz Sk., Kemal Paşa Mh., Fatih, İstanbul||Numune Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Ramazan Efendi Cami Arkası Parkı,toplanma_alani,,,Silivrikapı Mh.,Bezirgan Odaları SK.,"Ramazan Efendi Cami Arkası Parkı, Bezirgan Odaları SK., Silivrikapı Mh., Fatih, İstanbul||Ramazan Efendi Cami Arkası Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Saraçhane Parkı,toplanma_alani,,,Kalenderhane Mh.,15 Temmuz Şehitleri Cad.,"Saraçhane Parkı, 15 Temmuz Şehitleri Cad., Kalenderhane Mh., Fatih, İstanbul||Saraçhane Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Sefa Bostan Parkı,toplanma_alani,,,Topkapı Mh.,Sefa Bostanı Sk.,"Sefa Bostan Parkı, Sefa Bostanı Sk., Topkapı Mh., Fatih, İstanbul||Sefa Bostan Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Selçuk Sultan Parkı,toplanma_alani,,,Molla Gürani Mh.,Selçuk Sultan Cami Sk.,"Selçuk Sultan Parkı, Selçuk Sultan Cami Sk., Molla Gürani Mh., Fatih, İstanbul||Selçuk Sultan Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Seyyid Ömer Meydanı,toplanma_alani,,,Seyyid Ömer Mh.,Vezir Cad.,"Seyyid Ömer Meydanı, Vezir Cad., Seyyid Ömer Mh., Fatih, İstanbul||Seyyid Ömer Meydanı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Seyyid Ömer Şelaleli Park,toplanma_alani,,,Seyyid Ömer Mh.,Emrullah Efendi Sk.,"Seyyid Ömer Şelaleli Park, Emrullah Efendi Sk., Seyyid Ömer Mh., Fatih, İstanbul||Seyyid Ömer Şelaleli Park, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Silivrikapı Alay İmamı Parkı,toplanma_alani,,,Silivrikapı Mh.,Alay İmamı Sk.,"Silivrikapı Alay İmamı Parkı, Alay İmamı Sk., Silivrikapı Mh., Fatih, İstanbul||Silivrikapı Alay İmamı Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Silivrikapı Semt Parkı,toplanma_alani,,,Silivrikapı Mh.,Koçdibek Sk.,"Silivrikapı Semt Parkı, Koçdibek Sk., Silivrikapı Mh., Fatih, İstanbul||Silivrikapı Semt Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Silivrikapı Set Üstü Parkı,toplanma_alani,,,Mevlanakapı Mh.,Hancı Değirmen Sk.,"Silivrikapı Set Üstü Parkı, Hancı Değirmen Sk., Mevlanakapı Mh., Fatih, İstanbul||Silivrikapı Set Üstü Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Sultanahmet Meydanı,toplanma_alani,,,Binbirdirek Mh.,At Meydanı Cad.,"Sultanahmet Meydanı, At Meydanı Cad., Binbirdirek Mh., Fatih, İstanbul||Sultanahmet Meydanı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Taşköprülü Parkı,toplanma_alani,,,Seyyid Ömer Mh.,Hüseyin Kazım Sk.,"Taşköprülü Parkı, Hüseyin Kazım Sk., Seyyid Ömer Mh., Fatih, İstanbul||Taşköprülü Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
